ID,Archetype,1789,1792,1796,1800,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
023,"Rights Cosmopolitan",ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Jefferson,Madison,Madison,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Van Buren,ABSTAIN,ABSTAIN,Lincoln,Lincoln,Grant,ABSTAIN,ABSTAIN,ABSTAIN,Cleveland,ABSTAIN,Cleveland,ABSTAIN,ABSTAIN,Roosevelt,ABSTAIN,Roosevelt,Wilson,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Truman,Stevenson,ABSTAIN,Kennedy,ABSTAIN,ABSTAIN,ABSTAIN,Carter,Carter,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Obama,ABSTAIN,Johnson,Biden,ABSTAIN
024,"Ethical Internationalist",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Clay,Van Buren,Scott,Fremont,Lincoln,Lincoln,Grant,Greeley,Tilden,Garfield,Cleveland,Cleveland,Cleveland,McKinley,McKinley,Roosevelt,Bryan,Roosevelt,Wilson,Harding,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,McGovern,Carter,Anderson,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Johnson,Biden,Harris
025,"World-Minded Reformer",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,ABSTAIN,Van Buren,ABSTAIN,Polk,Van Buren,ABSTAIN,ABSTAIN,Lincoln,Lincoln,Grant,Greeley,ABSTAIN,Hancock,Cleveland,Cleveland,Cleveland,McKinley,ABSTAIN,Roosevelt,Bryan,Wilson,Wilson,Harding,Davis,Hoover,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Eisenhower,Stevenson,Kennedy,Johnson,Nixon,Nixon,Carter,Reagan,Reagan,Bush,Bush,Clinton,Gore,Kerry,Obama,Obama,Johnson,Biden,Harris
026,"Cosmopolitan Pragmatist",Washington,Washington,ABSTAIN,ABSTAIN,Jefferson,Madison,Madison,Monroe,Monroe,ABSTAIN,ABSTAIN,ABSTAIN,Van Buren,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Douglas,Lincoln,Grant,Greeley,ABSTAIN,ABSTAIN,Cleveland,ABSTAIN,Cleveland,McKinley,ABSTAIN,Roosevelt,Taft,Wilson,Wilson,Harding,ABSTAIN,Smith,Roosevelt,ABSTAIN,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,McGovern,Carter,Anderson,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Johnson,Biden,Harris
027,"Popperian Liberal",Washington,Washington,Adams,ABSTAIN,Jefferson,Madison,Madison,Monroe,Monroe,Clay,Adams,ABSTAIN,Harrison,Harrison,Clay,Taylor,Scott,ABSTAIN,Lincoln,Lincoln,Grant,Greeley,Tilden,Garfield,Cleveland,Cleveland,Cleveland,McKinley,McKinley,Roosevelt,Taft,Roosevelt,Wilson,Harding,Coolidge,Hoover,Roosevelt,ABSTAIN,Willkie,Roosevelt,Dewey,Eisenhower,Eisenhower,Kennedy,Johnson,Humphrey,Nixon,Carter,Anderson,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Johnson,Biden,Harris
028,"Global Caretaker",Washington,Washington,ABSTAIN,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Van Buren,ABSTAIN,ABSTAIN,Lincoln,Lincoln,Grant,Greeley,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Cleveland,ABSTAIN,ABSTAIN,Roosevelt,ABSTAIN,Roosevelt,Wilson,ABSTAIN,ABSTAIN,ABSTAIN,Roosevelt,ABSTAIN,Roosevelt,Roosevelt,Truman,Stevenson,ABSTAIN,Kennedy,Johnson,Humphrey,ABSTAIN,Carter,Carter,ABSTAIN,ABSTAIN,Clinton,Clinton,Nader,Kerry,Obama,ABSTAIN,Johnson,Biden,Harris
029,"Liberationist Progressive",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Van Buren,Polk,Van Buren,Pierce,Fremont,Lincoln,Lincoln,Grant,Grant,Tilden,Hancock,Blaine,Cleveland,Cleveland,Bryan,Bryan,Roosevelt,Bryan,Roosevelt,Wilson,Cox,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,McGovern,Carter,Carter,Reagan,Bush,Clinton,Clinton,Nader,Kerry,Obama,Obama,Johnson,Biden,Harris
031,"Planetary Steward",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,ABSTAIN,Polk,Van Buren,ABSTAIN,Fremont,Lincoln,Lincoln,Grant,Greeley,ABSTAIN,Hancock,Cleveland,ABSTAIN,Weaver,ABSTAIN,ABSTAIN,Roosevelt,Bryan,Roosevelt,Wilson,Cox,La Follette,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Nixon,ABSTAIN,Ford,Reagan,Reagan,ABSTAIN,Clinton,Clinton,Nader,Kerry,Obama,Romney,Johnson,Biden,Harris
032,"Hamiltonian Technocrat",Washington,Washington,Adams,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Adams,Adams,Clay,Van Buren,Harrison,Polk,Taylor,Pierce,Buchanan,Lincoln,Lincoln,Grant,Greeley,Tilden,Garfield,Cleveland,Cleveland,Cleveland,McKinley,McKinley,Roosevelt,Taft,Wilson,Wilson,Harding,Coolidge,Hoover,Hoover,Landon,Willkie,Roosevelt,Truman,Eisenhower,Eisenhower,Kennedy,Johnson,Humphrey,Nixon,Carter,Anderson,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
033,"Systems Modernizer",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Clinton,Monroe,Monroe,Adams,Adams,Jackson,Van Buren,ABSTAIN,Polk,Taylor,ABSTAIN,ABSTAIN,Lincoln,Lincoln,Grant,Grant,ABSTAIN,Garfield,Cleveland,Cleveland,Cleveland,McKinley,McKinley,Roosevelt,Taft,Wilson,Wilson,Cox,Coolidge,Smith,Hoover,Landon,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,McGovern,Carter,Carter,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
