token_count,source,compressed,signature,label,raw_lexicon,tokens
3,lexicon,no,AES:Pastoral|CU:mid|MORAL_CIRCLE:ideological,Civic-Pluralist Pastoral Partisan-Communitarian,Civic-Pluralist Pastoral Partisan-Communitarian,Civic-Pluralist + Pastoral + Partisan-Communitarian
3,lexicon,no,AES:Pastoral|CU:mid|MORAL_CIRCLE:national,Civic-Pluralist Pastoral Nationalist,Civic-Pluralist Pastoral Nationalist,Civic-Pluralist + Pastoral + Nationalist
3,lexicon,no,AES:Pastoral|CU:mid|MORAL_CIRCLE:religious,Civic-Pluralist Pastoral Religious-Communitarian,Civic-Pluralist Pastoral Religious-Communitarian,Civic-Pluralist + Pastoral + Religious-Communitarian
3,lexicon,no,AES:Pastoral|CU:mid|MORAL_CIRCLE:universal,Civic-Pluralist Pastoral Universalist,Civic-Pluralist Pastoral Universalist,Civic-Pluralist + Pastoral + Universalist
3,lexicon,no,AES:Pastoral|CU:mid|ONT_H:high,Civic-Pluralist Malleabilist Pastoral,Civic-Pluralist Malleabilist Pastoral,Civic-Pluralist + Malleabilist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|ONT_H:low,Civic-Pluralist Essentialist Pastoral,Civic-Pluralist Essentialist Pastoral,Civic-Pluralist + Essentialist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|ONT_S:high,Civic-Pluralist Institutional Pastoral,Civic-Pluralist Institutional Pastoral,Civic-Pluralist + Institutional + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|ONT_S:low,Civic-Pluralist Anti-Institutional Pastoral,Civic-Pluralist Anti-Institutional Pastoral,Civic-Pluralist + Anti-Institutional + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|PF:high,Civic-Pluralist Partisan Pastoral,Civic-Pluralist Partisan Pastoral,Civic-Pluralist + Partisan + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|PF:low,Civic-Pluralist Detached Pastoral,Civic-Pluralist Detached Pastoral,Civic-Pluralist + Detached + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|PRO:high,Civic-Pluralist Procedural Pastoral,Civic-Pluralist Procedural Pastoral,Civic-Pluralist + Procedural + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|PRO:low,Civic-Pluralist Consequentialist Pastoral,Civic-Pluralist Consequentialist Pastoral,Civic-Pluralist + Consequentialist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|TRB:high,Civic-Pluralist Tribal Pastoral,Civic-Pluralist Tribal Pastoral,Civic-Pluralist + Tribal + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|TRB:low,Civic-Pluralist Inclusivist Pastoral,Civic-Pluralist Inclusivist Pastoral,Civic-Pluralist + Inclusivist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|ZS:high,Civic-Pluralist Combative Pastoral,Civic-Pluralist Combative Pastoral,Civic-Pluralist + Combative + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|ZS:low,Civic-Pluralist Positive-Sum Pastoral,Civic-Pluralist Positive-Sum Pastoral,Civic-Pluralist + Positive-Sum + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|EPS:Autonomous,All-In Autonomous Pastoral,All-In Autonomous Pastoral,All-In + Autonomous + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|EPS:Empiricist,All-In Empiricist Pastoral,All-In Empiricist Pastoral,All-In + Empiricist + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|EPS:Institutionalist,All-In Institutionalist Pastoral,All-In Institutionalist Pastoral,All-In + Institutionalist + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|EPS:Intuitionist,All-In Intuitionist Pastoral,All-In Intuitionist Pastoral,All-In + Intuitionist + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|EPS:Nihilist,All-In Nihilist Pastoral,All-In Nihilist Pastoral,All-In + Nihilist + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|EPS:Traditionalist,All-In Traditionalist Pastoral,All-In Traditionalist Pastoral,All-In + Traditionalist + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|MAT:high,Free-Marketeer All-In Pastoral,Free-Marketeer All-In Pastoral,Free-Marketeer + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|MAT:low,Redistributionist All-In Pastoral,Redistributionist All-In Pastoral,Redistributionist + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|MAT:mid,Mixed-Economy All-In Pastoral,Mixed-Economy All-In Pastoral,Mixed-Economy + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|MOR:high,Universalist All-In Pastoral,Universalist All-In Pastoral,Universalist + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|MOR:low,Particularist All-In Pastoral,Particularist All-In Pastoral,Particularist + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|MOR:mid,Civic All-In Pastoral,Civic All-In Pastoral,Civic + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|MORAL_CIRCLE:class,All-In Pastoral Class-Conscious,All-In Pastoral Class-Conscious,All-In + Pastoral + Class-Conscious
3,lexicon,no,AES:Pastoral|ENG:high|MORAL_CIRCLE:ethnic_racial,All-In Pastoral Ethnic-Communitarian,All-In Pastoral Ethnic-Communitarian,All-In + Pastoral + Ethnic-Communitarian
3,lexicon,no,AES:Pastoral|ENG:high|MORAL_CIRCLE:gender,All-In Pastoral Gender-Identitarian,All-In Pastoral Gender-Identitarian,All-In + Pastoral + Gender-Identitarian
3,lexicon,no,AES:Pastoral|ENG:high|MORAL_CIRCLE:ideological,All-In Pastoral Partisan-Communitarian,All-In Pastoral Partisan-Communitarian,All-In + Pastoral + Partisan-Communitarian
3,lexicon,no,AES:Pastoral|ENG:high|MORAL_CIRCLE:national,All-In Pastoral Nationalist,All-In Pastoral Nationalist,All-In + Pastoral + Nationalist
3,lexicon,no,AES:Pastoral|ENG:high|MORAL_CIRCLE:religious,All-In Pastoral Religious-Communitarian,All-In Pastoral Religious-Communitarian,All-In + Pastoral + Religious-Communitarian
3,lexicon,no,AES:Pastoral|ENG:high|MORAL_CIRCLE:universal,All-In Pastoral Universalist,All-In Pastoral Universalist,All-In + Pastoral + Universalist
3,lexicon,no,AES:Pastoral|ENG:high|ONT_H:high,Malleabilist All-In Pastoral,Malleabilist All-In Pastoral,Malleabilist + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|ONT_H:low,Essentialist All-In Pastoral,Essentialist All-In Pastoral,Essentialist + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|ONT_H:mid,Tempered All-In Pastoral,Tempered All-In Pastoral,Tempered + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|ONT_S:high,Institutional All-In Pastoral,Institutional All-In Pastoral,Institutional + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|ONT_S:low,Anti-Institutional All-In Pastoral,Anti-Institutional All-In Pastoral,Anti-Institutional + All-In + Pastoral
3,lexicon,no,AES:Pastoral|ENG:high|ONT_S:mid,Reformist All-In Pastoral,Reformist All-In Pastoral,Reformist + All-In + Pastoral
3,lexicon,yes,AES:Pastoral|ENG:high|PF:high,Activist-Partisan Pastoral,Partisan All-In Pastoral,Partisan + All-In + Pastoral
